Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\Controllers\RegistrationController.cs,15,12,P:System.Web.Mvc.Controller.ModelState,,,,,"if (ModelState.IsValid)              {                  return Redirect(""/registered.htm"");              }              else              {                  var errorMessages = ModelState                      .SelectMany(s => s.Value.Errors)                      .Select(e => e.ErrorMessage);                  return View(""Error"", errorMessages);              }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\Controllers\RegistrationController.cs,15,12,P:System.Web.Mvc.ModelStateDictionary.IsValid,,,,,"if (ModelState.IsValid)              {                  return Redirect(""/registered.htm"");              }              else              {                  var errorMessages = ModelState                      .SelectMany(s => s.Value.Errors)                      .Select(e => e.ErrorMessage);                  return View(""Error"", errorMessages);              }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\Controllers\RegistrationController.cs,12,16,T:System.Web.Mvc.ModelStateDictionary,,,,,"ModelState.AddModelError(""ConfirmPassword"", ""Passwords don't match."");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\Controllers\RegistrationController.cs,12,16,P:System.Web.Mvc.Controller.ModelState,,,,,"ModelState.AddModelError(""ConfirmPassword"", ""Passwords don't match."");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\Controllers\RegistrationController.cs,12,16,"M:System.Web.Mvc.ModelStateDictionary.AddModelError(System.String,System.String)",,,,,"ModelState.AddModelError(""ConfirmPassword"", ""Passwords don't match."");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\Controllers\RegistrationController.cs,6,42,M:System.Web.Mvc.Controller.#ctor,,,,,Controller
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\Controllers\RegistrationController.cs,6,42,T:System.Web.Mvc.Controller,,,,,Controller
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\Controllers\ScheduleController.cs,242,8,T:System.Web.Mvc.ActionResult,,,,,"public ActionResult Star(string id, bool starred)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\Controllers\ScheduleController.cs,242,9,M:System.Web.Mvc.HttpPostAttribute.#ctor,,,,,HttpPost
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\Controllers\ScheduleController.cs,242,9,T:System.Web.Mvc.HttpPostAttribute,,,,,HttpPost
